game_id,game_name,game_category_code,game_type_code
1,Fast Hands,C,FastHands
2,5th Avenue,C,VideoSlot9
3,Treasure Island,S,TreasureIsland
4,Fantasy Forest,S,Slot
5,Mega Safe,S,Safe
6,Genie,S,Genie
7,Roulette,S,FrenchRoulette
8,Pyramid,S,Slot
9,Slot Fantasy,S,Slot
10,Slot 777,S,Genie
11,Crazy Ball,S,Bowling
12,Golden Island,S,GoldenIsland
13,Lucky Diamonds,S,Genie
14,Ready Set Go,C,RoyalSlot
15,Zodiac,S,FrenchRoulette
16,Goal Kick,S,Football
17,Scratch N Roll,S,Craps
18,Bingo,S,Bingo
19,Super 7,S,Slot
20,Lucky 21,S,ScratchBlackjack
21,Poker King,S,Poker
22,Dragon's Gold,C,VideoSlot1_A
23,Bingo Bonanza,C,BingoBonanza
24,Summer Fun,S,Slot
25,gone fishin`,S,GoldenIsland
26,Christmas,S,GoldenIsland
27,Super Hippodrome,C,HorseRacing
28,Darts,S,Darts
29,Bubble Bingo,C,BubbleBingo
30,Lucky Eggs,S,GoldenIsland
31,Royal Poker,S,RoyalPoker
32,Monte Carlo,C,VideoSlot1_A
33,Club Pearl,S,GoldenIsland
34,100m Champion,C,HorseRacing
35,Splash Cash,S,Hit1
36,Super Chance,S,WheelOfFortune
37,Tropical Fruit,C,VideoSlot1_A
38,HiLo54,S,HiLo
39,Royal Slots,C,RoyalSlot
40,Champagne,S,NScratch
41,3 wow,S,WOW
42,Dancing Domino,C,Domino
43,Mister Joker,S,GoldenIsland
44,Pirates Paradise,C,VideoSlot1_A
45,Jungle Joy,S,NScratch
46,X&O,C,XOX
47,Castle Slot,C,VideoSlot1_A
48,The Fairy Tale,S,Genie
49,Disco Keno,C,DiscoKeno
50,Cash Farm,S,Genie
51,Sakura garden,C,VideoSlot1_A
52,Sky of Love,C,VideoSlot1_A
53,The Lost Maya,S,GoldenIsland
54,Knights Battle,C,KnightsBattle
55,Namaste,C,RoyalSlot
56,Love Birds,S,FrenchRoulette
57,Ocean Pearls,C,RoyalSlot
58,7th Heaven,C,7Heaven
59,Esmeralda,C,Domino
60,Grand Crown,C,VideoSlot5
61,Fair Play,C,VideoSlot5
62,Oasis Dreams,C,VideoSlot1_B
63,MasterMix,C,MasterMix
64,Spy Comics,S,NScratch
65,Conga Beat,C,VideoSlot20B
66,Macau Nights,C,VideoSlot1_B
67,Monaco Glamour,C,VideoSlot20B
68,World Champions,S,WorldChampions
69,Tiger Mahjong,C,TigerMahjong
70,Fantasia,C,VideoSlot9
71,Chic Boutique,C,VideoSlot9
72,Atlantis,C,VideoSlot9
73,Circus Mania,C,VideoSlot1_A
74,Egyptian Magic,C,VideoSlot9
75,Cafe Paris,C,VideoSlot9
76,Bon Appetit,C,VideoSlot9
77,Music Room,C,VideoSlot1_A
78,Ice Land,C,VideoSlot9
79,Super 3WOW!,C,WOW
80,Roulette Lounge,C,Roulette
81,Candy Tale,S,XOX
83,Blackjack - Classic,C,Blackjack
84,Crazy Cat,S,TreasureIsland
85,Outer Space,C,RoyalSlot
86,Triple Carnival,C,VideoSlot1_A
87,Memory Madness,C,MemoryMadness
89,Holiday Hotel,C,VideoSlot20B
90,Golden Fortune,C,GoldenFortune
91,Road Racing,C,RoadRacing
92,Sea And Sun,C,VideoSlot8
93,Pub House,C,VideoSlot1_A
94,Dino,C,VideoSlot5
95,Auto Show,C,VideoSlot20B
96,Happy Birthday,S,WorldChampions
97,Hi Lo Fever,C,HiLoFever
98,Jacks or Better,C,JacksOrBetter
99,Neighbours,S,Neighbours
100,The 60's,C,The60s
101,Legend of Terra,C,VideoSlot20B
110,Espresso,C,The60s
111,Lucky Charms,C,LuckyCharms
112,Black Jack Solo,C,Blackjack
113,MONOPOLY Riches,C,MonopolyRiches
114,The Wild West,S,FrenchRoulette
115,Adventure Jack,C,VideoSlot20B
116,Royal Wedding,C,RoyalSlot
117,Roulette Royal,C,Roulette
118,3 Card Solitaire,C,Solitaire
119,Dress Up Diva,C,PrettyWoman
120,Super Bugs,C,SuperBugs
121,The Big Apple,C,VideoSlot1_B
122,Keep Smiling,C,LuckyCharms
123,Shoot n' Score,C,ShootNScore
124,Flowers of Spring,C,Neighbours
125,Heaven or Hell?,C,HeavenOrHell
126,Spiderman,C,
127,The Hulk,C,
128,Fantastic Four,C,
129,King Kong,C,
130,Cubis,C,
131,Bejeweled,C,
132,Spider-Man Hero,C,SpiderMan
133,Sudoku Panda,C,Sudoku
134,Horoscope,C,Horoscope
135,Joker Poker,C,JacksOrBetter
136,Monte Carlo,C,VideoSlot1_A
138,Alfredo,C,RoyalSlot
139,Forces of Terra,C,ForcesOfTerra
141,7th Heaven,C,7Heaven
142,Crazy Ball,C,CrazyBall
143,Golden Island,C,GoldenIslandTreasure
144,ELVIS Forever,C,RoadRacing
145,Black Jack Solo,C,Blackjack
147,Christmas Joy,C,ChristmasJoy
148,3WOW!,C,WOW
149,Postcards,C,Postcards
150,GO 777,C,Go777
151,Forever After,C,VideoSlot8
152,Snakes & Ladders,C,SnakesAndLadders
153,B&B,C,BoldAndBeautiful
154,Sampo,C,Sampo
155,KENO,C,Keno
156,Jacks or Better,C,JacksOrBetter
157,S.M.I.L.E.,C,VideoSlot9
158,7 BOOM,C,7Boom
160,ICE,C,ICE
161,World Toto,C,WorldTOTO
162,Deuces Wild,C,JacksOrBetter
163,MONOPOLY x 3,C,RoyalSlot
164,Numero Uno,C,NumeroUno
165,Roulette Lounge,C,Roulette
166,Euroball,C,RoyalSlot
167,Roulette Pro,C,Roulette
169,Winners,C,Winners
170,Fruity Friends,S,VideoSlotMath_A
171,Loteria Mexicana,C,LoteriaMexicana
172,Meet Max,S,ChristmasJoy
173,3 Card Poker,C,
174,Mini Baccarat,C,
175,Spin the Gold,S,SpinTheGold
176,Golden Fortune,C,GoldenFortune
177,Roll the Dice!,C,RollTheDice
179,Power Cash,S,RoyalSlot
180,Rainbow charms,S,VideoSlotMath_A
181,FUNtastic Pets,S,VideoSlotMath_A
183,Vegas Lights,S,VideoSlotMath_A
188,Mighty Sphinx,S,VideoSlotMath_B
189,VIP Black,S,VIPBlack
190,Captain America - AS,C,
191,Wolverine - AS,C,
192,Superman,C,
193,Noughty Crosses,C,
194,B&B Slot,S,VideoSlotMath_A
195,Monte Carlo Dice,C,VideoSlot1_A
196,European Roulette,C,Roulette
197,Magic Dice,C,VideoSlot5
198,Royal Dice,C,RoyalSlot
199,Moolah Monsters,S,MoolahMonsters
200,Fruity Friends,S,VideoSlotMath_A
201,VIP Black,S,VIPBlack
202,Monaco Glamour II,S,VideoSlotMath_B
203,Casino Riches,C,CasinoRiches
205,Starburst,S,Non Branded
206,Crime Scene,S,
207,Astrodice,C,VideoSlotMath_A
208,Keno Deluxe,C,Keno
209,Mighty Sphinx,S,VideoSlotMath_B
210,Elements,S,
211,Jack and the Beanstalk,S,Non Branded
212,Gonzo's Quest,S,Non Branded
213,Jack Hammer,S,Non Branded
214,Eggomatic,S,
215,Reel Rush,S,Non Branded
216,Robin Hood,S,Non Branded
217,Space Wars,S,
218,Mythic Maiden,S,Non Branded
219,Victorious,S,Non Branded
220,Magic Portals,S,Non Branded
221,Jack Hammer 2,S,
222,Disco Spins,S,
223,Flowers,S,Non Branded
224,Magic Spinner,C,MagicSpinner
225,Lucky Machines,S,LuckyMachines
226,Ghost Pirates,S,
227,Lucky Machines,S,LuckyMachines
228,Lollipop,C,7Heaven
229,Tales Of Oz,C,VideoSlotMath_A
230,Starlight Dazzle,C,StarlightDazzle
231,Fruit Shop,S,Non Branded
232,Lucky Angler,S,Non Branded
233,South Park,S,
234,Twin Spin,S,Non Branded
235,Secret of the Stones,S,Non Branded
236,Thief,S,
237,Alien Robots,S,
238,Demolition Squad,S,
239,Zombies,S,
240,Boom Brothers,S,
241,Fruit Case,S,
242,Wild Rockets,S,
243,Batman,C,
244,Wonder women,C,
245,Green Lantern,C,
246,Flash Velocity,C,
247,Millionaire Club 3,C,
248,Big Bang,S,
249,Cashword,S,Cashword
250,Roll the Dice,S,RollTheDice
251,Subtopia,S,
252,Fisticuffs,S,
253,Frankenstein,S,
254,Creature from the Black Lagoon,S,Branded
255,Wonky Wabbits,S,
256,Beach,S,
257,Evolution,S,
258,Dragon Island,S,
259,Wild Time Doubler,S,WildTime
260,Bingo Doubler,C,BingoDoubler
261,Blazing red 7's,S,WildTime
262,Instant Riches,S,WildTime
263,Best Of 7's,C,7Boom
264,Diamond Payout,S,WildTime
265,Instant Keno,C,Keno
266,Pot O Gold,C,LuckyCharms
267,Fiery 1's,C,NumeroUno
268,Super Money Match,S,SuperMoneyMatch
269,Casino Fortune,C,CasinoRiches
270,10X The Cash,S,SuperMoneyMatch
271,Horoscope,C,Horoscope
272,VIP Black,S,VIPBlack
273,Mega Bucks,C,RoyalSlot
274,Triple 7s,C,7Heaven
275,Pure Gold,C,GoldenFortune
276,Alfredo,C,RoyalSlot
277,Wild Water,S,Non Branded
278,Wild Win Doubler,S,WildTime
279,Lights,S,Non Branded
280,Diamond Duet,S,WildTime
281,3 Rocks,S,LuckyMachines
282,Keno Blast,C,Keno
283,The Wish Master,S,
284,Glamour 7s,C,Glamour7
285,Pair A Dice,S,Winners
286,Super PE DE MEIA,C,PeDeMeia
287,Lost Island,S,
288,Piggy Riches,S,Non Branded
289,Attraction,S,
290,Reel Bandits,C,VideoSlotMath_A
291,Roulette,C,
292,Cash Rumble x10,C,SuperMoneyMatch
293,Blood Suckers,S,Non Branded
294,Pirate's Hoard,C,WildTime
295,Mega Fortune,S,Non Branded
296,Dragon 8s,S,
297,Medusa,S,
298,Cleo,S,
299,Wild Huskies,S,
300,Chili Gold,S,
301,Bars & Bells,S,
302,Cash Spin,S,
303,Wizard of All,C,WildTime
304,Go Bananas,S,
305,Millionaire Club 3,C,
306,King Kong,S,
307,Batman,S,
308,Cubis,S,
309,Bejeweled,S,
310,Diamond Tower,C,
311,Serengeti Diamonds,C,
312,Unwrap the Cash,C,WildTime
314,Dr love,S,
315,HotHotVolcano,S,
316,Amazon Wild,S,
317,Gulliver Travels,S,
318,Aladdin's Legacy,S,
319,Captain Nemo I,S,
320,Cold Hard Cash,C,ICE
321,Cosmic Fortune,S,
322,Wonder Woman,S,
323,Druidess Gold,S,
324,Superman - LSOK,S,
325,Moon Temple,S,
326,Cupid and Psyche,S,
327,Quick Hit PRO,S,
328,Big Vegas,S,
329,Big Bad Wolf,S,
330,Treasure Island,S,
331,Where's The Gold,S,
332,Wild Panda,S,
333,Pompeii,S,
334,Let's Go Fish'n,S,
335,Choy Sun Doa,S,
336,Christmas Cheer,C,WildTime
337,Jackpot 6000,S,
338,Frog N flies,S,
339,Dogs Trust Scratch,C,SuperMoneyMatch
340,3 Wishes Keno,C,Keno
341,Grande Sorte,C,WildTime
342,Tornado: Farm Escape,S,
343,Wizard of All,C,WildTime
344,Treasure Bay,C,WildTime
345,Secrets of El Dorado,C,WildTime
346,Triple Money Match,C,SuperMoneyMatch
347,Fantasy Realm,S,
348,Silent Screen,S,
349,Sushi Express,S,
350,Rags To Riches,S,
351,So hot,S,
352,Pirate Plunder,S,
353,$100 Million Explosion,C,WildTime
354,Keno Multiplier,C,Keno
355,Hockey Legends,C,SuperMoneyMatch
356,Steam Tower,S,Non Branded
357,Lucky Moments,C,XOX
358,Cosmic Expander,C,WildTime
359,Aqua Cash,C,VideoSlotMath_B
360,Wings of Cash,C,WildTime
361,Fruity Friends,C,VideoSlotMath_A
362,Spiñata Grande,S,Non Branded
364,Money in the Mitten,C,WildTime
365,Mayan Treasures,S,
366,Havana Cubana,S,
367,Cash Wizard,S,
368,Chimney Stacks,S,
369,Hot Shot Blazing 7s,S,
370,Vegas Hits,S,
371,Graveyard Party,C,VideoSlotMath_A
372,Trevo da Sorte,C,WildTime
373,Double the Devil,S,
374,Geckos Gone Wild,S,
375,Monkey in the Bank,S,
376,White Buffalo,S,
377,Bingo Bonanza,C,BingoBonanza
378,Jungle Hop!,C,WildTime
379,Dracula ,S,
380,Pe De Meia,C,PeDeMeia
381,Mini Pe De Meia,C,PeDeMeia
382,Recompensa,C,WildTime
383,Stickers,S,Non Branded
384,Instant Football Payout,C,SuperMoneyMatch
385,Lucky Kitten,C,SuperMoneyMatch
386,Amazon Adventures,C,WildTime
387,Merlin's Millions,S,
388,Rainbow Charms,C,VideoSlotMath_A
389,Cosmic Expander,C,WildTime
391,Cerne Perly,C,WildTime
392,eCash,C,WildTime
393,eRentier,C,WildTime
394,Diamanty,C,WildTime
395,Stistko,C,SuperMoneyMatch
396,Neon Staxx,S,Non Branded
397,Foxin wins,S,
398,Sparks,S,
399,Medusa 2,S,
401,Pre Live,S,Sport
402,Live Betting,S,Sport
403,Combo,S,Sport
404,Virtual Sports,S,
406,Keno VIP,S,Keno
407,Black Jack Solo (CZ),C,Blackjack
408,Blackjack - Classic (CZ),C,Blackjack
409,Sportsbook,S,
410,Fuzzball Keno,C,Keno
411,Dazzle me,S,Non Branded
412,Fruity Cashword,C,Cashword
413,Tax Free,C,WildTime
414,King Kong,S,
415,Hook's Heroes,S,Non Branded
417,Foxin wins again,S,
418,Pyramid: Quest for Immortality,S,
419,Pinata!,C,QueenOfDiamonds
421,Mega Moolah,S,Non Branded
422,immortal Romance,S,Branded
423,Avalon,S,Non Branded
424,Thunderstruck II,S,Branded
425,Reel Gems,S,
426,3 Eggs,C,Match3Eggs
427,Foxin wins,S,
428,Foxin Wins Again,S,
429,Gorilla go wild ,S,
430,Koi Princess,S,Non Branded
431,Queen of Diamonds,C,QueenOfDiamonds
432,VIP Black,C,VIPBlack
433,VIP Black,C,VIPBlack
434,Multiplier Max Out,C,QueenOfDiamonds
436,Jackpot Jester,S,
438,Merlin's Millions,S,
439,Mega Pe De Meia,C,PeDeMeia
440,Aranha da Sorte,C,AranhaDaSorte
442,Rainbow Riches ,S,
